"id","name","nickname","dob","age","height","weight","reach","stance","winstreak","wins","losses","draws","belt","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
22,"Mohamed Ado","","May 03, 2000",25,"5' 11""",170,76.0,"Switch",0,5,1,0,0,1.66,83,0.33,75,4.97,50,50,5.0
23,"Nick Agallar","","Jan 13, 1979",46,"5' 8""",155,0.0,"Orthodox",0,24,6,0,0,0.69,11,4.56,42,0.0,0,0,0.0
24,"Mariya Agapova","Money Mashka","Apr 07, 1997",28,"5' 6""",125,68.0,"Southpaw",0,10,5,0,0,4.43,54,3.62,52,0.55,66,45,0.8
25,"Kantharaj Agasa","Kannadiga","Feb 16, 1992",33,"",135,0.0,"",0,12,3,0,0,0.0,0,0.0,0,0.0,0,0,0.0
26,"Marcelo Aguiar","","",0,"5' 10""",170,0.0,"Orthodox",0,2,3,1,0,0.0,0,0.0,0,0.0,0,0,0.0
27,"Fabio Aguiar","","Feb 10, 1988",37,"6' 0""",185,0.0,"",0,17,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
28,"Edwin Aguilar","Tigre","",0,"5' 10""",185,0.0,"",0,26,19,0,0,0.0,0,0.0,0,0.0,0,0,0.0
29,"Jessica Aguilar","Jag","May 08, 1982",43,"5' 3""",115,63.0,"Orthodox",0,20,8,0,0,4.93,50,7.19,53,0.94,25,50,0.2
30,"Kevin Aguilar","Angel of Death","Sep 07, 1988",36,"5' 7""",155,73.0,"Orthodox",0,17,5,0,0,3.96,40,4.81,52,0.16,16,78,0.0
31,"Jesus Aguilar","","Mar 13, 1996",29,"5' 4""",125,62.0,"Orthodox",0,11,3,0,0,1.73,45,1.1,59,1.83,35,40,1.8
32,"Christian Aguilera","The Beast","Nov 25, 1991",33,"5' 9""",170,72.0,"Switch",0,14,8,0,0,2.54,37,4.04,48,0.0,0,60,0.0
33,"Nick Aguirre","Slick","Jan 15, 1996",29,"5' 9""",135,74.0,"Southpaw",0,7,2,0,0,0.73,33,2.89,45,1.16,20,33,0.6
34," Agulali","","Apr 07, 2005",20,"5' 9""",125,67.0,"Switch",1,13,1,0,0,2.74,63,0.91,71,0.0,0,0,0.0
35,"Ahejiang Ailinuer","","",0,"",145,0.0,"",0,15,3,0,0,0.0,0,0.0,0,0.0,0,0,0.0
36,"Mike Aina","Iron","",0,"5' 9""",155,0.0,"Orthodox",0,14,6,1,0,2.87,33,6.33,59,0.0,0,71,0.0
37,"Ashiek Ajim","Peak Physique","Jun 19, 1994",31,"5' 8""",135,71.0,"Switch",0,6,2,0,0,5.0,40,11.25,25,0.0,0,0,0.0
38,"Hitomi Akano","Girlfight Monster","Jul 27, 1974",50,"5' 4""",135,0.0,"Southpaw",0,18,10,0,0,0.59,45,2.58,55,0.0,0,8,0.5
39,"Omari Akhmedov","Wolverine","Oct 12, 1987",37,"6' 0""",185,73.0,"Orthodox",0,21,6,1,0,2.97,34,2.84,55,2.58,45,65,0.2
40,"Yoshihiro Akiyama","","Jul 29, 1975",49,"5' 10""",170,75.0,"Orthodox",0,14,6,0,0,3.1,41,3.62,57,2.29,67,92,1.0
41,"Rostem Akman","","Dec 19, 1991",33,"5' 10""",170,72.0,"Switch",0,6,2,0,0,1.8,25,3.97,57,1.0,40,87,0.0
42,"Razak Al-Hassan","","May 14, 1982",43,"6' 2""",205,0.0,"Orthodox",0,13,5,0,0,3.27,39,3.14,60,0.65,14,57,0.0
43,"Abdul-Kareem Al-Selwady","Pride of Palestine","Apr 10, 1995",30,"5' 8""",155,69.0,"Orthodox",0,15,4,0,0,4.14,34,3.6,59,2.32,30,20,0.0
44,"Mostapha Al-Turk","","Jul 14, 1973",51,"6' 2""",245,77.0,"Orthodox",0,6,6,0,0,1.36,19,3.61,53,0.0,0,0,0.0
45,"Herdem Alacabek","","Jun 07, 1991",34,"6' 2""",205,75.0,"Orthodox",0,5,1,0,0,3.84,65,6.66,23,2.06,50,42,0.0
46,"Javi Alanis","","",0,"5' 6""",135,0.0,"",0,0,4,0,0,0.0,0,0.0,0,0.0,0,0,0.0
47," Alatengheili","The Mongolian Knight","Dec 14, 1991",33,"5' 5""",135,66.0,"Orthodox",0,17,10,2,0,2.82,32,5.12,57,1.74,43,75,0.0
48,"Amir Albazi","The Prince","Oct 27, 1993",31,"5' 5""",125,68.0,"Orthodox",0,17,2,0,0,2.72,34,3.71,61,1.39,32,50,0.5
49,"Brett Albee","","",0,"",225,0.0,"",0,3,2,0,0,0.0,0,0.0,0,0.0,0,0,0.0
50,"Junior Albini","Baby","Mar 15, 1991",34,"6' 3""",264,74.0,"Orthodox",0,14,6,0,0,3.98,51,6.08,52,1.54,37,100,0.0
51,"Wes Albritton","","",0,"5' 10""",188,0.0,"Orthodox",0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
52,"Aleksandra Albu","Stitch","Jul 14, 1990",34,"5' 2""",115,63.0,"Orthodox",0,3,2,0,0,4.83,47,5.56,38,2.27,50,77,0.4
53,"Israel Albuquerque","","",0,"",185,0.0,"Orthodox",0,0,3,0,0,0.32,13,3.34,25,0.0,0,0,0.0
54,"Juan Alcain","","",0,"",0,0.0,"",1,1,2,0,0,0.0,0,0.0,0,0.0,0,0,0.0
55,"Iuri Alcantara","Marajo","Aug 04, 1980",44,"5' 9""",135,71.0,"Southpaw",0,35,10,0,0,2.72,45,2.79,49,1.44,62,60,0.8
56,"Ildemar Alcantara","Marajo","Nov 18, 1982",42,"6' 2""",185,78.0,"Orthodox",0,21,11,0,0,1.93,38,2.63,50,2.0,68,81,0.9
57,"Alfonso Alcarez","","Jun 10, 1970",55,"5' 3""",145,0.0,"",0,1,3,1,0,0.0,0,0.0,0,0.0,0,0,0.0
58,"Gilbert Aldana","El Peligro","Aug 25, 1977",47,"6' 1""",250,0.0,"Orthodox",0,6,2,0,0,2.91,54,6.26,26,2.57,40,33,0.0
59,"Irene Aldana","","Mar 26, 1988",37,"5' 9""",135,68.0,"Orthodox",0,15,8,0,0,5.19,39,6.64,56,0.15,50,77,0.2
60,"Hector Aldana","","Aug 17, 1988",36,"5' 11""",170,72.0,"Orthodox",0,4,3,0,0,3.59,38,5.08,59,0.93,100,0,0.0
61,"Jose Alday","Pochito","Sep 14, 1991",33,"5' 7""",135,68.0,"Orthodox",0,14,6,1,0,3.13,44,3.13,58,0.0,0,57,0.0
62,"Jose Aldo","","Sep 09, 1986",38,"5' 7""",135,70.0,"Orthodox",0,32,10,0,0,3.65,46,3.81,60,0.47,51,92,0.1
63,"JJ Aldrich","","Sep 29, 1992",32,"5' 5""",125,67.0,"Southpaw",1,14,7,0,0,3.96,47,4.32,61,0.75,26,67,0.0
64,"Irina Alekseeva","Russian Ronda","Jun 27, 1990",35,"5' 8""",135,67.0,"Orthodox",0,5,3,0,0,4.01,39,5.03,46,0.47,20,66,0.5
65,"Talita Alencar","Problem Child","Oct 17, 1990",34,"5' 1""",115,58.0,"Orthodox",1,6,1,1,0,2.62,33,3.77,53,2.5,20,50,0.2
66,"Jim Alers","The Beast","Oct 14, 1986",38,"5' 9""",145,71.0,"Orthodox",0,13,3,0,0,2.9,40,4.38,56,2.26,41,80,0.3
67,"John Alessio","The Natural","Jul 05, 1979",46,"5' 10""",155,72.0,"Orthodox",0,35,17,0,0,2.1,39,2.91,54,1.85,38,70,1.2
68,"Houston Alexander","The Assassin","Mar 22, 1972",53,"6' 0""",205,72.0,"Orthodox",0,17,15,1,0,3.06,54,3.2,52,1.19,57,33,0.0
69,"Kenneth Alexander","The Machine","Sep 25, 1977",47,"5' 9""",155,0.0,"Orthodox",0,7,6,0,0,0.88,19,2.2,66,4.71,26,0,0.0
70,"Lucas Alexander","The Lion","Jul 28, 1995",29,"5' 11""",145,73.0,"Orthodox",0,8,5,0,0,4.69,57,2.87,56,0.0,0,60,0.0
71,"Marcio Alexandre Junior","Lyoto","May 05, 1989",36,"6' 0""",185,75.0,"Southpaw",1,17,4,0,0,1.61,45,2.89,42,0.35,20,66,0.7
72,"Olaf Alfonso","","Aug 06, 1974",50,"6' 2""",170,0.0,"Orthodox",0,8,12,0,0,1.65,38,4.77,53,0.37,7,22,0.7
73,"Pablo Alfonso","The Hurricane","May 09, 1983",42,"5' 8""",145,0.0,"",1,9,7,0,0,0.0,0,0.0,0,0.0,0,0,0.0
74,"Bill Algeo","Senor Perfecto","Jun 09, 1989",36,"6' 0""",145,73.0,"Switch",0,18,9,0,0,5.88,51,4.38,47,1.03,50,55,0.1
75,"Royce Alger","","",0,"5' 10""",199,0.0,"Orthodox",0,3,2,0,0,0.0,0,0.0,0,0.0,0,0,0.0
76,"Amir Aliakbari","","Jun 10, 1984",41,"6' 3""",250,0.0,"",0,10,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
77,"Sultan Aliev","","Sep 17, 1984",40,"5' 11""",170,74.0,"Orthodox",1,15,3,0,0,1.41,45,2.2,56,1.76,38,100,0.0
78,"Nurullo Aliev","Tajik Eagle","Dec 08, 2000",24,"5' 10""",155,72.0,"Orthodox",3,10,0,0,0,2.43,45,1.07,58,2.6,54,0,0.0
79,"Ikram Aliskerov","","Dec 07, 1992",32,"6' 0""",185,76.0,"Southpaw",1,16,2,0,0,7.76,62,5.78,41,1.14,33,100,1.1
80,"Leon Aliu","The Albanian Lion","Jul 14, 1989",35,"6' 0""",185,74.0,"Orthodox",0,10,2,0,0,6.32,50,10.11,38,0.0,0,0,0.0
81,"John Allan","","Feb 22, 1993",32,"6' 1""",205,75.0,"Orthodox",0,13,7,0,0,3.56,42,5.74,52,1.4,71,50,0.8
82,"George Allen","","Jan 13, 1967",58,"6' 2""",205,0.0,"Open Stance",0,13,19,2,0,0.8,38,3.1,43,0.0,0,50,0.0
83,"Arnold Allen","Almighty","Jan 22, 1994",31,"5' 8""",145,70.0,"Southpaw",1,20,3,0,0,3.45,41,2.88,61,0.93,47,75,0.3
84,"Brendan Allen","All In","Dec 28, 1995",29,"6' 2""",185,75.0,"Orthodox",0,24,7,0,0,3.55,53,3.67,45,1.53,38,56,1.3
85,"Daniel Allen","","Aug 10, 1992",32,"6' 0""",155,75.0,"Southpaw",1,5,0,0,0,7.6,51,5.87,53,2.0,66,100,0.0
86,"Ben Alloway","Blanco","Feb 19, 1981",44,"5' 11""",170,76.0,"Orthodox",0,18,8,0,0,1.28,49,1.9,59,0.62,50,26,0.0
87,"Asu Almabayev","Zulfikar","Jan 25, 1994",31,"5' 4""",125,65.0,"Orthodox",0,21,3,0,0,2.32,54,1.76,53,4.13,42,66,1.4
88,"Bekzat Almakhan","The Turan Warrior","Oct 08, 1997",27,"5' 7""",135,68.0,"Orthodox",1,12,2,0,0,0.68,40,4.29,32,0.0,0,0,0.0
89,"John Dave Almanza","The Striker","Mar 22, 2004",21,"5' 7""",125,67.0,"Southpaw",0,6,1,0,0,1.92,41,5.75,27,0.0,0,0,0.0
90,"Ricardo Almeida","Big Dog","Nov 29, 1976",48,"6' 0""",170,74.0,"Orthodox",0,13,5,0,0,2.02,49,1.2,61,3.74,38,31,1.2
91,"Magno Almeida","","Jun 06, 1985",40,"6' 0""",155,0.0,"",0,10,3,0,0,1.67,36,2.6,41,0.0,0,40,5.0
92,"Thomas Almeida","Thominhas","Jul 31, 1991",33,"5' 7""",145,70.0,"Southpaw",0,22,5,0,0,4.84,43,4.93,61,0.17,14,75,0.0
93,"Ericka Almeida","","Mar 05, 1989",36,"5' 6""",115,0.0,"Orthodox",0,7,3,0,0,1.07,39,3.33,43,0.5,33,37,0.0
94,"Estefani Almeida","","Oct 17, 1988",36,"5' 4""",125,0.0,"Orthodox",0,7,3,0,0,3.13,37,6.07,42,0.0,0,0,0.0
95,"Jailton Almeida","Malhadinho","Jun 26, 1991",34,"6' 3""",205,79.0,"Orthodox",2,22,3,0,0,2.62,65,0.89,41,6.58,60,60,2.4
96,"Lucas Almeida","","Jan 31, 1991",34,"5' 11""",145,71.0,"Orthodox",0,15,4,0,0,4.94,39,5.04,44,0.0,0,53,0.0
97,"Cesar Almeida","Cesinha","Mar 28, 1988",37,"6' 1""",185,74.0,"Orthodox",2,7,1,0,0,4.16,58,2.32,48,0.0,0,60,0.3
98,"Sarah Alpar","Too Sweet","Jun 01, 1991",34,"5' 4""",135,63.0,"Southpaw",0,9,6,0,0,2.36,44,6.06,38,1.61,26,20,0.4
99,"Ali AlQaisi","The Royal Fighter","Sep 23, 1990",34,"5' 6""",135,68.0,"Orthodox",0,8,5,0,0,2.43,42,1.97,56,3.5,29,60,1.0
100,"Rico Altamirano","","",0,"5' 10""",170,0.0,"",1,4,3,0,0,0.0,0,0.0,0,0.0,0,0,0.0
101,"Victor Altamirano","El Magnifico","Jan 23, 1991",34,"5' 8""",125,70.0,"Switch",0,12,5,0,0,4.58,53,3.82,53,2.88,38,63,0.0
102,"Mike Altman","","",0,"5' 10""",185,0.0,"Orthodox",0,1,4,0,0,1.56,20,2.08,75,0.0,0,0,0.0
103,"Patricia Alujas","The Angel","May 08, 1996",29,"5' 4""",115,64.0,"Orthodox",0,9,3,0,0,5.83,31,9.25,44,0.0,0,0,0.0
104,"Sean Alvarez","","Jul 14, 1971",53,"6' 0""",235,0.0,"Orthodox",0,4,3,0,0,0.89,37,3.25,47,0.0,0,0,0.0
105,"Eddie Alvarez","","Jan 11, 1984",41,"5' 9""",155,69.0,"Orthodox",0,29,6,0,0,4.32,41,4.39,55,2.92,36,92,0.5
106,"Jaime Alvarez","","Mar 08, 1988",37,"5' 8""",125,69.0,"Orthodox",1,6,1,0,0,2.73,40,4.53,56,1.0,33,50,0.0
107,"Joel Alvarez","El Fenomeno","Mar 02, 1993",32,"6' 3""",155,77.0,"Orthodox",3,22,3,0,0,4.51,53,3.32,50,0.0,0,40,1.2
108,"Thiago Alves","Pitbull","Oct 03, 1983",41,"5' 9""",170,70.0,"Orthodox",0,23,15,0,0,3.73,41,3.42,62,0.71,60,63,0.3
109,"Anthony Alves","","",0,"",0,0.0,"",0,1,4,0,0,0.0,0,0.0,0,0.0,0,0,0.0
110,"Amilcar Alves","","Aug 08, 1988",36,"6' 0""",170,0.0,"Southpaw",0,15,12,0,0,0.5,46,2.02,30,0.0,0,53,0.0
111,"Warlley Alves","","Jan 04, 1991",34,"5' 11""",185,72.0,"Orthodox",0,15,8,0,0,3.04,48,3.95,50,1.22,50,62,0.8
112,"Rafael Alves","The Turn","Nov 14, 1990",34,"5' 8""",155,68.0,"Orthodox",0,20,12,0,0,1.85,48,3.3,58,0.29,25,44,1.5
113,"Sam Alvey","Smile'N","May 06, 1986",39,"6' 2""",185,75.0,"Southpaw",0,33,18,1,0,3.28,44,3.63,52,0.06,14,82,0.1
114,"Mahamed Aly","","Jan 11, 1994",31,"",205,0.0,"",0,4,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
115,"Andre Amado","Dida","",0,"6' 0""",154,0.0,"Orthodox",0,6,4,1,0,2.27,24,5.91,63,0.0,0,20,0.0
116,"Adlan Amagov","Borz","Oct 30, 1986",38,"6' 2""",170,76.0,"Orthodox",3,14,2,1,0,3.29,47,0.82,78,5.84,56,100,0.0
117,"Maiara Amanajas dos Santos","","Jul 11, 1987",37,"5' 5""",115,0.0,"Southpaw",0,7,3,0,0,5.53,35,24.47,33,0.0,0,100,0.0
118,"Chris Amarante","","",0,"",185,0.0,"",1,2,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
119,"Jimmy Ambriz","The Titan","Jan 26, 1970",55,"6' 2""",315,0.0,"Southpaw",0,17,21,1,0,0.83,29,3.76,40,3.13,57,100,0.8
120,"JJ Ambrose","","",0,"5' 10""",170,0.0,"Orthodox",0,28,7,0,0,3.16,69,6.32,33,0.0,0,50,0.0
121,"Alen Amedovski","","Apr 06, 1988",37,"5' 10""",185,74.0,"Orthodox",0,8,4,0,0,0.99,30,3.85,46,0.0,0,0,0.0
122,"Hamid Amiri","The Storm","Jun 15, 2003",22,"",145,0.0,"",0,9,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
123,"Makwan Amirkhani","Mr. Finland","Nov 08, 1988",36,"5' 10""",145,72.0,"Southpaw",0,17,9,0,0,1.33,44,2.98,46,3.96,43,35,1.1
124,"Jaqueline Amorim","","Jun 24, 1995",30,"5' 3""",115,68.0,"Orthodox",4,10,1,0,0,2.68,53,1.43,64,2.22,37,0,4.8
125,"Bertrand Amoussou","","",0,"5' 8""",190,0.0,"Orthodox",1,1,1,0,0,6.75,39,2.01,83,0.0,0,0,0.0
126,"Karl Amoussou","The Psycho","Nov 21, 1985",39,"5' 11""",185,0.0,"Orthodox",0,27,7,2,0,1.47,34,2.67,54,0.0,0,25,1.0
127,"Eryk Anders","Ya Boi","Apr 21, 1987",38,"6' 1""",185,75.0,"Southpaw",2,17,8,0,0,3.54,48,4.05,50,1.71,24,80,0.1
128,"Matt Andersen","","May 29, 1971",54,"6' 2""",230,0.0,"Southpaw",0,14,8,1,0,0.0,0,0.0,0,0.0,0,0,0.0
129,"Andy Anderson","The Hammer","Jul 16, 1974",50,"5' 6""",240,0.0,"",0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
130,"Lowell Anderson","","",0,"5' 6""",160,0.0,"Orthodox",0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
131,"Corey Anderson","Overtime","Sep 22, 1989",35,"6' 3""",205,79.0,"Orthodox",0,14,5,0,0,4.43,46,2.22,59,4.89,50,83,0.0
132,"Derek Anderson","Barbaric","Feb 02, 1990",35,"6' 0""",155,0.0,"",0,14,3,0,0,3.97,37,3.08,61,0.34,14,60,0.0
133,"Megan Anderson","","Feb 11, 1990",35,"6' 0""",145,72.0,"Orthodox",0,11,5,0,0,1.76,46,3.35,37,0.52,25,53,0.5
134,"Liam Anderson","","Jan 13, 1995",30,"6' 3""",185,75.0,"Orthodox",0,6,3,0,0,3.0,52,6.53,31,1.0,20,50,0.0
135,"Tatsuya Ando","Kirinji","Apr 26, 1990",35,"5' 4""",145,68.0,"Southpaw",0,14,4,1,0,0.93,19,4.93,50,0.0,0,0,0.0
136,"Alex Andrade","El Toro","May 14, 1974",51,"5' 11""",200,0.0,"Orthodox",0,10,5,0,0,0.2,36,2.6,53,0.0,0,25,0.8
137,"Jessica Andrade","Bate Estaca","Sep 25, 1991",33,"5' 1""",115,62.0,"Orthodox",0,26,14,0,0,6.39,50,5.49,54,2.21,54,71,0.3
138,"Viscardi Andrade","","Mar 08, 1984",41,"5' 11""",170,75.0,"Orthodox",2,19,6,0,0,3.26,42,2.77,63,1.93,50,66,0.3
139,"Jermaine Andre","","",0,"5' 7""",200,0.0,"Orthodox",2,14,4,0,0,0.0,0,0.0,0,0.0,0,0,0.0
140,"Juan Andres Luna","","Aug 20, 1995",29,"5' 7""",125,72.0,"Orthodox",0,12,1,0,0,3.27,31,3.0,65,0.0,0,0,0.0
141,"Fellipe Andrew","","Oct 24, 1994",30,"",0,0.0,"",0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
142,"Dylan Andrews","The Villain","Nov 15, 1979",45,"6' 1""",185,74.0,"Switch",0,18,7,0,0,2.21,50,2.72,46,2.83,50,57,0.4
143,"Reese Andy","Riptide","Mar 31, 1973",52,"6' 0""",205,0.0,"Orthodox",0,7,3,0,0,2.87,50,3.5,58,0.67,20,40,0.0
144," Angga","The Hitman","Jan 13, 1989",36,"5' 7""",145,68.0,"Orthodox",0,13,3,0,0,3.56,38,3.77,53,0.0,0,33,0.0
145,"Julius Anglickas","","Jul 23, 1991",33,"6' 3""",205,0.0,"Orthodox",1,5,1,0,0,4.62,78,1.86,50,4.47,50,60,1.1
146,"Chad Anheliger","The Monster","Dec 01, 1986",38,"5' 6""",135,64.0,"Orthodox",0,13,8,0,0,3.11,46,2.76,53,0.68,30,38,0.5
147,"Yoji Anjo","Mr. 200%","Mar 28, 1967",58,"5' 11""",205,0.0,"Orthodox",0,0,5,1,0,0.0,0,3.13,25,0.0,0,0,0.0
148,"Magomed Ankalaev","","Jun 02, 1992",33,"6' 3""",205,75.0,"Orthodox",3,21,1,1,1,3.66,52,2.46,57,0.8,22,87,0.0
149,"Gadzhimurad Antigulov","","Feb 09, 1987",38,"5' 11""",205,70.0,"Orthodox",0,20,8,0,0,2.08,55,4.21,40,5.08,36,0,1.4
150,"Adam Antolin","Captain Chaos","Feb 28, 1982",43,"5' 5""",125,63.0,"Orthodox",1,12,3,0,0,5.73,52,5.0,69,0.0,0,100,0.0
151,"Angelo Antonio","","",0,"",205,0.0,"Orthodox",0,1,4,0,0,1.09,50,7.64,50,0.0,0,0,0.0
152,"Vanilto Antunes","","Dec 28, 1994",30,"6' 0""",170,72.0,"Orthodox",0,16,7,0,0,5.49,48,14.27,43,0.0,0,0,0.0
153,"Azunna Anyanwu","Zulu","Aug 05, 1981",43,"6' 1""",251,0.0,"Orthodox",0,14,5,0,0,2.47,42,2.47,69,0.65,100,0,0.0
154,"Shinsho Anzai","Animal","Dec 01, 1985",39,"5' 7""",170,70.0,"Orthodox",0,10,3,0,0,3.23,58,3.75,45,1.83,16,75,0.0
155,"Jin Aoi","","Jan 21, 1997",28,"5' 6""",145,68.0,"Orthodox",0,14,6,1,0,1.6,29,5.8,51,0.0,0,71,0.0
156,"Shinya Aoki","Tobikan Judan","May 09, 1983",42,"5' 11""",154,0.0,"Southpaw",8,39,7,0,0,0.97,58,1.25,58,2.54,41,60,4.0
157," Aoriqileng","The Mongolian Murderer","Jun 25, 1993",32,"5' 7""",135,69.0,"Orthodox",0,25,12,0,0,4.65,49,5.46,48,1.2,46,58,0.0
158,"Josh Appelt","","Jun 19, 1983",42,"5' 10""",255,0.0,"Southpaw",0,15,7,0,0,1.35,40,11.5,32,0.0,0,33,0.0
159,"Erik Apple","","Aug 26, 1977",47,"6' 0""",170,0.0,"Orthodox",0,10,3,0,0,0.0,0,0.54,81,0.0,0,0,8.1
160,"Kenji Arai","","Oct 05, 1979",45,"5' 10""",145,0.0,"Southpaw",0,15,15,5,0,8.79,27,10.29,39,0.0,0,0,0.0
161,"Romie Aram","","Dec 02, 1977",47,"5' 10""",170,0.0,"Orthodox",0,7,1,0,0,1.8,35,2.83,50,2.5,62,83,0.0
162,"Felipe Arantes","Sertanejo","Feb 09, 1988",37,"5' 8""",135,73.0,"Orthodox",0,18,10,1,0,2.37,45,2.66,64,0.93,47,41,0.7
163,"Igor Araujo","","Dec 06, 1980",44,"6' 1""",170,77.0,"Orthodox",0,25,9,0,0,1.52,42,2.86,49,0.86,15,22,0.6
164,"Viviane Araujo","Vivi","Nov 21, 1986",38,"5' 4""",125,68.0,"Orthodox",0,13,7,0,0,3.84,47,4.83,55,1.72,43,75,0.6
165,"Julio Arce","","Oct 27, 1989",35,"5' 7""",145,70.0,"Southpaw",1,19,6,0,0,4.36,36,3.05,68,0.46,28,96,0.3
166,"Art Arciniega","King Arthur","Oct 15, 1981",43,"5' 8""",145,0.0,"",0,15,7,0,0,1.53,46,2.73,51,0.0,0,50,1.0
167,"Alice Ardelean","","Apr 19, 1992",33,"5' 3""",115,62.0,"Orthodox",1,10,7,0,0,6.73,44,5.04,57,1.0,50,87,0.0
168,"Tristan Arenal","","",0,"",155,0.0,"",1,7,4,0,0,0.0,0,0.0,0,0.0,0,0,0.0
169,"Gabriel Arges","","Jan 29, 1993",32,"",170,0.0,"",0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
170,"Reza Arianto","The Crazy Lion","",0,"",155,0.0,"",0,5,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
171,"Hashem Arkhagha","","Sep 11, 1989",35,"6' 2""",185,75.0,"Orthodox",0,6,1,0,0,1.84,44,8.97,43,0.0,0,50,0.0
172,"Andrei Arlovski","The Pitbull","Feb 04, 1979",46,"6' 3""",240,77.0,"Orthodox",0,34,24,0,0,3.82,45,3.22,57,0.37,35,76,0.2
173,"Garrett Armfield","","Oct 09, 1996",28,"5' 6""",135,70.0,"Orthodox",0,10,5,0,0,5.35,53,3.64,56,1.1,50,64,0.6
174,"Joey Armstrong","","",0,"",0,0.0,"",1,5,2,0,0,0.0,0,0.0,0,0.0,0,0,0.0
