"id";"name";"nickname";"dob";"age";"height";"weight";"reach";"stance";"winstreak";"wins";"losses";"draws";"belt";"SLpM";"Str_Acc";"SApM";"Str_Def";"TD_Avg";"TD_Acc";"TD_Def";"Sub_Avg"
140;"Felipe Arantes";"Sertanejo";"Feb 09, 1988";37;"5' 8""";135;73.0;"Orthodox";0;18;10;1;0;2.37;45;2.66;64;0.93;47;41;0.7
141;"Igor Araujo";"";"Dec 06, 1980";44;"6' 1""";170;77.0;"Orthodox";0;25;9;0;0;1.52;42;2.86;49;0.86;15;22;0.6
142;"Viviane Araujo";"Vivi";"Nov 21, 1986";38;"5' 4""";115;68.0;"Orthodox";1;13;6;0;0;4.04;47;4.87;56;1.86;43;80;0.7
143;"Julio Arce";"";"Oct 27, 1989";35;"5' 7""";145;70.0;"Southpaw";1;19;6;0;0;4.36;36;3.05;68;0.46;28;96;0.3
148;"Andrei Arlovski";"The Pitbull";"Feb 04, 1979";46;"6' 3""";240;77.0;"Orthodox";0;34;24;0;0;3.82;45;3.22;57;0.37;35;76;0.2
149;"Garrett Armfield";"";"Oct 09, 1996";28;"5' 6""";135;70.0;"Orthodox";0;10;5;0;0;5.35;53;3.64;56;1.1;50;64;0.6
150;"Austin Arnett";"";"Oct 22, 1991";33;"6' 0""";145;72.0;"Orthodox";0;16;6;0;0;4.52;41;6.38;62;0.44;18;57;0.2
151;"Ricardo Arona";"The Brazilian Tiger";"Jul 17, 1978";46;"5' 11""";205;0.0;"Orthodox";0;14;5;0;0;1.66;48;1.15;57;2.41;48;58;1.2
153;"Chalid Arrab";"Die Faust";"May 28, 1975";50;"5' 11""";205;0.0;"Orthodox";0;7;3;0;0;1.56;34;1.63;56;3.05;75;37;1.0
154;"Akbarh Arreola";"El Caballero";"Jan 14, 1983";42;"5' 10""";155;71.0;"Southpaw";0;23;11;1;0;2.32;45;4.01;56;1.07;100;33;0.4
155;"Matt Arroyo";"No Regard";"Sep 01, 1982";42;"5' 10""";170;72.0;"Orthodox";0;3;3;0;0;1.62;47;2.01;58;2.12;36;100;5.3
156;"Antonio Arroyo";"";"Jul 01, 1989";35;"6' 3""";185;73.0;"Orthodox";0;9;5;0;0;2.82;66;2.02;50;1.14;41;41;0.2
164;"Askar Askarov";"Bullet";"Oct 09, 1992";32;"5' 6""";125;67.0;"Orthodox";0;14;1;1;0;3.05;54;2.8;57;2.6;24;66;0.4
165;"Cyril Asker";"Silverback";"Dec 24, 1985";39;"6' 0""";247;74.0;"Orthodox";0;9;4;0;0;3.35;39;5.82;35;4.41;62;100;0.9
169;"Tom Aspinall";"";"Apr 11, 1993";32;"6' 5""";256;78.0;"Orthodox";3;15;3;0;1;8.07;67;2.89;65;3.27;100;100;1.6
170;"Bruno Assis";"Brunao";"May 23, 1992";33;"6' 2""";185;0.0;"Orthodox";0;8;4;0;0;1.27;43;3.2;36;2.0;50;66;1.0
171;"Junior Assuncao";"";"Jun 24, 1981";43;"5' 9""";145;72.0;"Orthodox";0;16;6;0;0;3.31;62;2.06;44;2.43;24;66;0.7
172;"Raphael Assuncao";"";"Jul 19, 1982";42;"5' 5""";135;66.0;"Orthodox";0;28;10;0;0;3.22;42;2.5;66;1.65;39;78;0.2
175;"Olivier Aubin-Mercier";"The Canadian Gangster";"Feb 23, 1989";36;"5' 9""";155;70.0;"Southpaw";0;11;5;0;0;2.48;51;2.97;55;2.36;33;70;0.5
178;"Marcus Aurelio";"Maximus";"Aug 18, 1973";51;"5' 10""";155;74.0;"Orthodox";0;22;10;0;0;1.42;33;2.27;59;1.69;27;27;1.3
179;"Blas Avena";"The Disciple";"Jun 30, 1983";41;"6' 0""";170;74.0;"Orthodox";0;8;7;0;0;2.34;47;3.36;43;2.37;80;50;1.8
183;"Julia Avila";"Raging Panda";"May 11, 1988";37;"5' 7""";135;68.0;"Orthodox";0;9;4;0;0;2.81;42;3.28;55;0.63;37;52;0.2
184;"Saad Awad";"Assassin";"Jun 07, 1983";41;"5' 11""";155;0.0;"";0;20;9;0;0;2.13;26;1.87;60;0.5;16;100;0.5
189;"Niklas Backstrom";"";"Aug 22, 1989";35;"6' 1""";145;0.0;"Orthodox";0;11;3;0;0;1.12;41;3.65;40;2.92;80;72;2.2
190;"Seth Baczynski";"The Polish Pistola";"Oct 26, 1981";43;"6' 3""";170;75.0;"Orthodox";0;20;14;0;0;3.08;31;3.14;51;0.89;16;48;0.8
191;"Ryan Bader";"Darth";"Jun 07, 1983";41;"6' 2""";205;74.0;"Orthodox";2;23;5;0;0;2.82;43;1.39;71;3.37;44;80;0.4
193;"Miguel Baeza";"Caramel Thunder";"Aug 23, 1992";32;"6' 2""";170;74.0;"Orthodox";0;10;4;0;0;4.09;49;5.92;46;0.36;22;54;2.0
194;"Ali Bagautinov";"Puncher";"Jun 10, 1985";39;"5' 4""";125;65.0;"Orthodox";0;15;6;0;0;2.85;42;3.09;52;2.51;36;65;0.3
197;"Siyar Bahadurzada";"The Great";"Apr 17, 1984";41;"5' 11""";170;73.0;"Orthodox";0;24;8;1;0;2.91;40;3.23;49;1.32;61;62;0.3
201;"Bryan Baker";"The Beast";"Oct 13, 1985";39;"6' 3""";185;0.0;"Orthodox";0;18;5;0;0;1.78;52;2.83;45;0.44;50;37;0.9
206;"Humberto Bandenay";"";"Sep 04, 1994";30;"5' 11""";145;71.0;"Southpaw";0;14;7;0;0;2.22;41;4.79;41;2.9;46;62;0.5
207;"Tae Hyun Bang";"Supernatural";"Apr 15, 1983";42;"5' 9""";155;71.0;"Switch";0;18;10;0;0;2.72;38;2.07;66;0.49;33;57;0.5
209;"Antonio Banuelos";"";"Sep 23, 1979";45;"5' 5""";135;63.0;"Orthodox";0;20;11;1;0;2.69;33;3.15;58;1.62;62;86;0.4
211;"Renan Barao";"The Baron";"Jan 31, 1987";38;"5' 6""";145;70.0;"Orthodox";0;34;9;0;0;3.78;36;3.9;57;1.49;41;91;0.5
213;"Maycee Barber";"The Future";"May 18, 1998";27;"5' 5""";125;65.0;"Switch";6;14;2;0;0;4.7;53;2.9;54;1.44;43;53;0.1
214;"Bryan Barberena";"Bam Bam";"May 03, 1989";36;"6' 0""";185;72.0;"Southpaw";0;18;12;0;0;5.35;48;4.59;44;0.13;22;50;0.3
215;"Dione Barbosa";"The Witch";"May 08, 1992";33;"5' 6""";125;66.0;"Orthodox";1;8;3;0;0;2.35;50;2.73;67;1.93;33;42;2.3
217;"Edson Barboza";"Junior";"Jan 21, 1986";39;"5' 11""";145;75.0;"Orthodox";0;24;12;0;0;4.11;44;4.65;56;0.45;50;72;0.1
218;"Raoni Barcelos";"";"May 01, 1987";38;"5' 7""";135;67.0;"Orthodox";2;19;5;0;0;5.11;53;4.64;60;2.46;37;82;0.7
219;"Daniel Barez";"";"Dec 10, 1988";36;"5' 6""";125;66.0;"Orthodox";0;17;7;0;0;3.65;49;5.95;50;1.93;28;80;0.6
221;"Luke Barnatt";"The Bigslow";"Apr 13, 1988";37;"6' 6""";185;77.0;"Orthodox";0;13;4;0;0;4.43;36;3.87;59;0.63;42;63;0.4
224;"Josh Barnett";"The Warmaster";"Nov 10, 1977";47;"6' 3""";250;78.0;"Orthodox";1;35;8;0;0;3.2;50;2.11;57;1.26;55;55;1.4
227;"Phil Baroni";"The New York Bad Ass";"Apr 16, 1976";49;"5' 9""";170;72.0;"Orthodox";0;15;18;0;0;2.77;45;3.93;40;1.46;47;60;0.5
230;"Marc-Andre Barriault";"Powerbar";"Feb 18, 1990";35;"6' 1""";185;74.0;"Orthodox";1;17;9;0;0;6.02;47;5.57;52;0.21;25;67;0.1
236;"Enrique Barzola";"El Fuerte";"Apr 28, 1989";36;"5' 7""";145;70.0;"Orthodox";0;17;5;2;0;3.91;41;2.97;68;4.2;45;66;0.3
237;"Javid Basharat";"The Snow Leopard";"Sep 07, 1995";29;"5' 9""";135;69.0;"Orthodox";0;14;2;0;0;5.41;53;2.96;61;1.62;40;83;0.2
238;"Farid Basharat";"Ferocious";"Aug 02, 1997";27;"5' 8""";135;71.0;"Orthodox";5;13;0;0;0;4.36;55;2.57;59;3.97;44;80;0.5
239;"Austin Bashi";"";"Sep 29, 2001";23;"5' 6""";145;70.0;"Orthodox";0;13;1;0;0;1.94;48;2.71;46;8.39;39;62;1.3
241;"Shayna Baszler";"The Queen of Spades";"Aug 08, 1980";44;"5' 7""";135;0.0;"Orthodox";0;15;11;0;0;2.49;30;6.36;51;0.67;18;44;1.3
244;"Bryan Battle";"The Butcher";"Sep 21, 1994";30;"6' 1""";170;77.0;"Orthodox";2;13;2;0;0;5.12;52;4.11;44;0.77;17;53;0.4
246;"Mario Bautista";"";"Jul 01, 1993";31;"5' 9""";135;69.0;"Switch";7;15;2;0;0;5.33;47;3.91;54;1.92;33;66;0.9
247;"Chris Beal";"Real Deal";"Aug 06, 1985";39;"5' 7""";125;69.0;"Orthodox";0;10;5;0;0;3.45;35;3.18;61;1.6;58;78;0.2
255;"Chase Beebe";"";"Mar 29, 1985";40;"5' 7""";135;67.0;"Orthodox";0;24;13;1;0;2.17;38;1.64;69;2.49;42;41;0.9
256;"Lyle Beerbohm";"Fancy Pants";"Feb 05, 1979";46;"5' 10""";155;0.0;"Southpaw";0;24;3;0;0;1.98;55;1.61;54;2.1;23;64;0.3
259;"Mirsad Bektic";"";"Feb 16, 1991";34;"5' 8""";145;70.0;"Orthodox";0;13;4;0;0;2.43;41;1.8;57;3.98;52;92;0.4
261;"Alan Belcher";"The Talent";"Apr 24, 1984";41;"6' 2""";185;75.0;"Orthodox";0;18;8;0;0;2.7;41;3.1;59;0.44;26;55;0.9
262;"Vitor Belfort";"The Phenom";"Apr 01, 1977";48;"6' 0""";185;74.0;"Southpaw";0;26;14;0;0;1.59;46;2.83;50;1.02;60;53;0.6
264;"Rodolfo Bellato";"Trator";"Feb 05, 1996";29;"6' 3""";205;75.0;"Orthodox";0;12;2;1;0;6.28;62;6.31;46;1.06;30;100;0.3
267;"Marco Beltran";"Psycho";"May 18, 1986";39;"5' 8""";125;69.0;"Orthodox";0;8;6;0;0;2.07;37;1.93;63;0.7;50;46;0.2
268;"Joseph Benavidez";"";"Jul 31, 1984";40;"5' 4""";125;65.0;"Southpaw";0;28;8;0;0;3.52;34;2.67;61;1.41;30;62;0.6
269;"Gabriel Benitez";"Moggly";"Jun 15, 1988";36;"5' 8""";155;71.0;"Southpaw";0;23;13;0;0;5.26;41;4.49;63;0.22;50;55;0.9
274;"Ryan Benoit";"Baby Face";"Aug 25, 1989";35;"5' 5""";125;68.0;"Orthodox";0;10;8;0;0;2.88;39;3.65;58;0.28;22;72;0.4
276;"Steve Berger";"The Red Nosed Pitbull";"May 20, 1973";52;"5' 11""";170;0.0;"Orthodox";0;21;23;2;0;1.0;27;3.26;36;0.84;40;16;1.7
278;"Bret Bergmark";"The Angry Hick";"Nov 24, 1973";51;"5' 9""";170;0.0;"";1;6;1;1;0;2.78;52;2.78;37;4.17;100;50;4.2
280;"Dennis Bermudez";"The Menace";"Dec 13, 1986";38;"5' 6""";155;66.0;"Orthodox";1;17;9;0;0;4.42;46;3.07;59;3.89;40;82;1.1
282;"Talita Bernardo";"";"Mar 04, 1987";38;"5' 4""";135;68.0;"Orthodox";0;6;4;0;0;3.12;42;4.04;55;1.62;22;28;0.5
287;"Matt Bessette";"The Mangler";"Dec 28, 1984";40;"5' 10""";145;70.0;"Orthodox";0;22;9;0;0;4.36;41;4.45;58;0.64;28;61;0.3
293;"Blake Bilder";"El Animal";"Jul 12, 1990";34;"5' 8""";145;68.0;"Switch";0;8;2;1;0;3.81;48;4.15;53;0.31;7;71;0.6
296;"Anthony Birchak";"El Toro";"May 16, 1986";39;"5' 8""";135;69.0;"Orthodox";0;16;8;0;0;3.93;36;3.67;56;0.48;14;61;0.5
299;"Michael Bisping";"The Count";"Feb 28, 1979";46;"6' 1""";185;75.0;"Orthodox";0;30;9;0;0;4.33;38;2.71;65;1.05;43;63;0.3
303;"Jan Blachowicz";"";"Feb 24, 1983";42;"6' 2""";205;78.0;"Orthodox";0;29;11;1;0;3.44;49;3.03;52;1.03;48;69;0.3
304;"Jason Black";"The Black Legion";"Jul 15, 1972";52;"5' 8""";155;0.0;"Orthodox";0;23;4;1;0;1.06;47;2.6;45;0.48;33;28;6.2
305;"Brad Blackburn";"Bad Brad";"May 25, 1977";48;"5' 10""";170;73.0;"Orthodox";0;18;13;1;0;4.55;35;3.59;65;0.93;50;76;0.7
307;"Da'Mon Blackshear";"The Monster";"Aug 12, 1994";30;"5' 10""";135;72.0;"Switch";3;17;7;1;0;4.7;46;4.15;52;1.56;36;71;1.6
309;"Maximo Blanco";"Maxi";"Oct 16, 1983";41;"5' 8""";145;71.0;"Orthodox";0;12;8;1;0;4.11;44;3.19;66;1.85;36;63;0.3
311;"Tereza Bleda";"";"Nov 30, 2001";23;"5' 9""";125;71.0;"Orthodox";1;7;1;0;0;3.02;53;1.86;46;1.81;27;83;0.7
316;"Mark Bocek";"";"Oct 24, 1981";43;"5' 8""";155;75.0;"Orthodox";1;12;5;0;0;2.34;43;2.32;60;3.65;36;31;1.3
319;"Tim Boetsch";"The Barbarian";"Jan 28, 1981";44;"6' 0""";185;74.0;"Orthodox";0;21;13;0;0;2.93;50;2.9;57;1.45;34;59;0.8
323;"Mandy Bohm";"Monster";"Jul 30, 1989";35;"5' 7""";125;71.0;"Orthodox";1;8;2;0;0;2.51;45;3.24;60;0.72;18;75;0.7
327;"Gabriel Bonfim";"Marretinha";"Aug 20, 1997";27;"6' 1""";170;72.0;"Orthodox";2;17;1;0;0;5.22;43;3.8;65;3.68;76;73;2.2
330;"Stephan Bonnar";"The American Psycho";"Apr 04, 1977";48;"6' 4""";205;79.0;"Orthodox";0;15;9;0;0;2.76;38;3.01;52;1.32;40;60;1.0
331;"Rogerio Bontorin";"";"Apr 25, 1992";33;"5' 5""";125;67.0;"Orthodox";0;16;4;0;0;2.63;52;3.27;50;2.9;60;51;1.0
332;"Ray Borg";"The Tazmexican Devil";"Aug 04, 1993";31;"5' 4""";135;63.0;"Orthodox";0;13;5;0;0;1.52;52;1.93;48;3.89;50;46;1.0
335;"Caio Borralho";"The Natural";"Jan 16, 1993";32;"6' 1""";185;75.0;"Southpaw";9;17;1;0;0;3.61;60;2.34;62;1.56;60;76;0.5
345;"Brian Bowles";"";"Jun 22, 1980";44;"5' 7""";135;70.0;"Orthodox";0;10;3;0;0;2.36;26;2.98;64;1.39;70;54;1.4
346;"Roger Bowling";"Relentless";"Dec 05, 1982";42;"5' 9""";155;68.0;"Orthodox";0;12;6;0;0;3.9;47;3.86;51;3.09;43;27;0.9
351;"Sean Brady";"";"Nov 23, 1992";32;"5' 10""";170;72.0;"Orthodox";3;18;1;0;0;4.0;55;2.94;59;3.62;54;86;0.9
353;"Ramiz Brahimaj";"";"Nov 17, 1992";32;"5' 10""";170;72.0;"Orthodox";1;11;5;0;0;2.26;44;4.04;43;1.51;35;44;1.5
358;"Diego Brandao";"DB";"May 27, 1987";38;"5' 7""";145;64.0;"Orthodox";0;22;11;0;0;2.94;47;3.38;62;3.21;68;80;0.6
366;"Jason Brilz";"Hitman";"Jul 07, 1975";49;"5' 11""";205;71.0;"Orthodox";0;22;6;1;0;2.66;40;1.78;65;2.37;25;25;1.3
371;"Joanderson Brito";"Tubarao";"Feb 11, 1995";30;"5' 8""";145;72.0;"Orthodox";0;17;5;1;0;2.48;50;2.49;42;2.49;68;56;1.0
376;"Jonathan Brookins";"";"Aug 13, 1985";39;"6' 0""";145;74.0;"Southpaw";0;16;10;0;0;2.69;39;3.63;56;1.94;17;80;0.3
377;"Will Brooks";"Ill";"Oct 08, 1986";38;"5' 10""";155;72.0;"Orthodox";0;18;4;0;0;4.26;59;2.54;56;2.08;51;82;0.3
378;"Jarred Brooks";"The Monkey God";"May 02, 1993";32;"5' 3""";125;62.0;"Switch";1;13;2;0;0;2.12;46;1.66;62;4.54;57;69;0.6
381;"Matt Brown";"The Immortal";"Jan 10, 1981";44;"6' 0""";170;75.0;"Orthodox";1;26;19;0;0;3.76;55;2.92;55;1.68;46;63;1.3
382;"Mike Brown";"";"Sep 08, 1975";49;"5' 6""";145;70.0;"Orthodox";0;26;9;0;0;2.98;44;2.45;60;3.23;40;66;0.6
385;"Randy Brown";"Rudeboy";"Jul 08, 1990";34;"6' 3""";170;78.0;"Orthodox";1;20;6;0;0;4.47;47;3.26;54;0.79;39;73;0.6
386;"Damien Brown";"Beatdown";"Dec 25, 1984";40;"5' 10""";155;68.0;"Orthodox";0;17;12;0;0;3.66;38;4.86;50;0.68;27;53;0.7
387;"TJ Brown";"Downtown";"May 22, 1990";35;"5' 9""";145;72.0;"Switch";0;17;11;0;0;3.37;44;2.89;49;3.41;57;36;1.3
389;"Travis Browne";"Hapa";"Jul 17, 1982";42;"6' 6""";255;79.0;"Orthodox";0;18;7;1;0;2.93;41;4.31;42;1.21;68;75;0.2
392;"Cody Brundage";"";"May 16, 1994";31;"6' 0""";185;72.0;"Orthodox";1;11;6;0;0;2.14;54;2.98;42;2.15;47;68;0.9
393;"Steve Bruno";"Hollywood";"Nov 03, 1981";43;"5' 10""";170;0.0;"Orthodox";0;15;6;0;0;0.96;52;3.38;36;1.94;25;46;0.4
394;"Fernando Bruno";"Acougueiro";"Feb 24, 1982";43;"5' 6""";145;0.0;"";0;15;4;0;0;1.75;39;1.78;48;2.02;22;56;0.5
395;"Derek Brunson";"The One";"Jan 04, 1984";41;"6' 1""";185;77.0;"Southpaw";0;23;9;0;0;3.51;47;3.05;51;3.14;33;85;0.6
399;"Lukasz Brzeski";"The Bull";"May 17, 1992";33;"6' 4""";236;78.0;"Orthodox";0;9;6;1;0;5.02;50;3.68;54;0.43;33;36;0.4
402;"Joaquin Buckley";"New Mansa";"Apr 27, 1994";31;"5' 10""";170;76.0;"Southpaw";6;21;6;0;0;4.22;37;3.13;59;1.78;45;73;0.1
404;"Dylan Budka";"The Mindless Hulk";"Jan 14, 2000";25;"6' 0""";185;75.0;"Switch";0;7;5;0;0;1.06;38;1.8;42;1.93;38;76;0.4
406;"Mayra Bueno Silva";"Sheetara";"Aug 22, 1991";33;"5' 6""";125;66.0;"Orthodox";0;10;5;1;0;3.83;58;4.85;51;0.57;29;63;1.5
407;"Paul Buentello";"The Headhunter";"Jan 16, 1974";51;"6' 2""";245;77.0;"Orthodox";0;35;17;0;0;3.29;45;3.83;52;0.19;33;39;0.4
408;"Modestas Bukauskas";"The Baltic Gladiator";"Feb 10, 1994";31;"6' 3""";205;78.0;"Switch";3;18;6;0;0;3.26;42;4.07;51;0.31;66;77;0.2
411;"Shane Burgos";"Hurricane";"Mar 19, 1991";34;"5' 11""";145;75.0;"Orthodox";2;15;3;0;0;7.4;52;6.78;56;0.43;44;91;0.4
412;"Joshua Burkman";"The People's Warrior";"Apr 10, 1980";45;"5' 10""";170;72.0;"Orthodox";0;28;16;0;0;2.69;43;3.13;51;2.53;36;72;0.3
414;"Mads Burnell";"";"Mar 06, 1994";31;"5' 8""";145;69.0;"Orthodox";0;9;3;0;0;1.28;41;2.71;51;3.45;47;22;0.4
416;"Kevin Burns";"The Fire";"Mar 03, 1980";45;"5' 10""";170;74.0;"Orthodox";0;12;7;0;0;2.74;38;4.3;52;0.28;50;47;0.8
417;"Gilbert Burns";"Durinho";"Jul 20, 1986";38;"5' 10""";170;71.0;"Orthodox";0;22;9;0;0;3.15;48;3.64;52;2.12;37;53;0.5
